epsilon,mean_perturbation,mlp_test_accuracy,svm_test_accuracy
1.0,0.9910449187115322,0.9714285714285714,0.9714285714285714
5.0,4.926021800089083,0.8666666666666667,0.9333333333333333
10.0,9.782293438208617,0.8380952380952381,0.9142857142857143
15.0,14.572343383037738,0.8,0.8857142857142857
20.0,19.292957488054746,0.8,0.8666666666666667
25.0,23.94184021450842,0.8,0.8571428571428571
30.0,28.517439754919824,0.8285714285714286,0.8380952380952381
35.0,33.01622745080175,0.819047619047619,0.8666666666666667
40.0,37.4346122600826,0.8857142857142857,0.8380952380952381
45.0,41.766687735362005,0.8952380952380953,0.8380952380952381
50.0,46.00755366506722,0.9428571428571428,0.9047619047619048
100.0,82.9313551536686,1.0,1.0
150.0,108.50099756792598,1.0,1.0
200.0,122.59335247864027,1.0,1.0
255.0,127.41335723649578,1.0,1.0
