epsilon,mean_perturbation,detection_accuracy
1.0,0.9907705124874023,0.0
2.0,1.9801117965994268,0.0
3.0,2.968161515908447,0.0
4.0,3.9549890558075083,1.0
5.0,4.940593124547273,1.0
6.0,5.924799828062012,1.0
7.0,6.907641644620811,1.0
8.0,7.889151729123363,1.0
9.0,8.8693412767306,1.0
10.0,9.848180700231481,1.0
20.0,19.54975707731009,1.0
35.0,33.704989240343124,1.0
50.0,47.26664498988253,1.0
100.0,86.50132121352591,1.0
150.0,112.29124383404982,1.0
200.0,124.15342531326766,1.0
255.0,127.4819460191484,1.0
