epsilon,epsilon_step,max_iter,mean_perturbation,mlp_test_accuracy,svm_test_accuracy
1.0,0.1,10.0,0.6914196190423043,0.9809523809523809,0.9809523809523809
1.0,0.04,25.0,0.694799775657856,0.9714285714285714,0.9809523809523809
5.0,0.5,10.0,2.275385879798348,0.5142857142857142,0.7142857142857143
5.0,0.2,25.0,2.311838656115824,0.5047619047619047,0.6952380952380952
10.0,1.0,10.0,3.582948782191448,0.2,0.5428571428571428
10.0,0.4,25.0,3.5275642561145704,0.1523809523809524,0.5333333333333333
20.0,2.0,10.0,5.801511251822157,0.047619047619047616,0.3047619047619048
20.0,0.8,25.0,5.222802762469189,0.05714285714285714,0.24761904761904763
40.0,4.0,10.0,10.199360916241497,0.0,0.1523809523809524
40.0,1.6,25.0,8.065563115701847,0.009523809523809525,0.21904761904761905
1.0,0.02,50.0,0.695987098311134,0.9809523809523809,0.9809523809523809
5.0,0.1,50.0,2.338180024542663,0.47619047619047616,0.6761904761904762
10.0,0.2,50.0,3.593292549657077,0.13333333333333333,0.5333333333333333
20.0,0.4,50.0,5.18624693728396,0.047619047619047616,0.2761904761904762
40.0,0.8,50.0,7.36630421630071,0.01904761904761905,0.2571428571428571
